,id,potential_result
2,ripple,2.13
3,ethereum,2.57
4,bitcoin-cash,6.5
5,cardano,8.99
6,tron,15.97
7,nem,17.33
8,litecoin,19.28
9,stellar,19.39
10,iota,22.38
11,dash,26.89
12,neo,39.03
13,eos,40.89
14,monero,42.21
15,raiblocks,56.53
16,bitcoin-gold,57.8
17,qtum,62.55
18,ethereum-classic,70.17
19,icon,92.23
20,verge,98.31
21,bitconnect,101.16
22,lisk,105.12
23,bitshares,122.74
24,ardor,124.54
25,omisego,126.8
26,status,127.25
27,zcash,149.95
28,bytecoin-bcn,155.21
29,populous,159.6
30,steem,160.64
31,stratis,167.34
32,tether,177.89
33,siacoin,181.5
34,waves,206.75
35,dogecoin,227.06
36,vechain,233.91
37,digibyte,245.84
38,hshare,256
39,komodo,274.18
40,binance-coin,280.96
41,augur,282.41
42,golem-network-tokens,296.39
43,dragonchain,326.43
44,experience-points,332.29
45,dent,338.56
46,veritaseum,344
47,decred,348.57
48,ark,351.99
49,funfair,364.21
50,salt,391.15
51,ethos,395.25
52,basic-attention-token,419.61
53,reddcoin,437.18
54,0x,440.05
55,kucoin-shares,445.31
56,nxt,446.73
57,pivx,452.07
58,power-ledger,460.61
59,bytom,461.77
60,factom,462.33
61,nexus,463.07
62,byteball,468.22
63,monacoin,495.4
64,tenx,500.52
65,aion,510.36
66,qash,516.96
67,aeternity,519.07
68,request-network,531.92
69,aelf,544.64
70,maidsafecoin,545.69
71,rchain,559.19
72,santiment,568.5
73,bitcoindark,568.87
74,kyber-network,582.94
75,electroneum,595.42
76,storm,608.21
77,zcoin,612.32
78,kin,621.98
79,iconomi,624.38
80,digixdao,629.13
81,syscoin,640.56
82,enigma-project,641.71
83,civic,643.08
84,wax,654.35
85,poet,654.59
86,substratum,660.75
87,chainlink,712.56
88,gas,720.19
89,gnosis-gno,762.99
90,time-new-bank,794.02
91,gxshares,812.79
92,quantstamp,816.24
93,bitbay,826
94,raiden-network-token,826.19
95,storj,833.05
96,enjin-coin,833.45
97,bancor,845.89
98,skycoin,854.56
99,gamecredits,862.96
100,vertcoin,893.28
